x1,T,P,y1
0.89388,369.40723,1.97368,0.89332
0.89898,369.40836,1.97368,0.89792
0.90408,369.41024,1.97368,0.90257
0.90918,369.41287,1.97368,0.90727
0.91429,369.41628,1.97368,0.91204
0.91939,369.42044,1.97368,0.91684
0.92449,369.42538,1.97368,0.92169
0.92959,369.43109,1.97368,0.9266
0.93469,369.43759,1.97368,0.93156
0.9398,369.4449,1.97368,0.93658
0.9449,369.453,1.97368,0.94165
0.95,369.46189,1.97368,0.94677
0.95,369.46189,1.97368,0.94677
0.95263,369.4668,1.97368,0.94943
0.95526,369.47192,1.97368,0.95211
0.95789,369.47726,1.97368,0.9548
0.96053,369.48284,1.97368,0.95752
0.96316,369.48862,1.97368,0.96024
0.96579,369.49462,1.97368,0.96298
0.96842,369.50083,1.97368,0.96573
0.97105,369.50727,1.97368,0.96849
0.97368,369.51394,1.97368,0.97128
0.97632,369.52085,1.97368,0.97409
0.97895,369.52797,1.97368,0.9769
0.98158,369.5353,1.97368,0.97973
0.98421,369.54287,1.97368,0.98258
0.98684,369.55066,1.97368,0.98544
0.98947,369.55868,1.97368,0.98832
0.99211,369.56696,1.97368,0.99122
0.99474,369.57544,1.97368,0.99413
0.99737,369.58415,1.97368,0.99706
1.0,369.58415,1.97368,1.0
